i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-031-hybrid-powershell-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-032-ears-requirements-syntax.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-032-github-actions-runner-selection.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-033-routing-level-enforcement-gates.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-034-investigation-session-qa-exemption.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-035-exit-code-standardization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-036-two-source-agent-template-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-037-memory-router-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-038-reflexion-memory-schema.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-039-agent-model-cost-optimization.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/ADR-040-skill-frontmatter-standardization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-TEMPLATE.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ASSESSMENT-session-qa-validation-options.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/DESIGN-REVIEW-session-validation-module-refactoring.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/SKILL-STANDARDS-RECONCILED.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/bot-author-feedback-protocol.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/architecture/claude-workflow-authorization-pattern.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/dual-path-strategy.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/HANDOFF-2025-12-22.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-17-session-01-mcp-config-research.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-17-session-02-protocol-update.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-17-session-03-copilot-cli-limitations.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-17-session-04-serena-transform-verification.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-17-session-05-serena-transform-impl.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-01-phase-0-foundation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-02-pr-review.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-03-ai-workflow-implementation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-04-ai-workflow-debugging.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-05-mcp-workspace-variable.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-06-parallel-workflow.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-07-qa-output-debug.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-08-vibrant-comments.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-09-knowledge-extraction.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-10-hyper-critical-retrospective.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-11-expand-quality-gate.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/archive/session/2025-12-18-session-12-skill-extraction.md
